Championship,Name,Medal,Race,Time,Record
2012 Summer Olympics,Ryan Lochte,Bronze,200 m backstroke,01:53.94,NR
2012 Summer Olympics,Ryan Lochte,Silver,200 m individual medley,01:54.90,NR
2012 Summer Olympics,Ryan Lochte,Silver,4x100 m freestyle relay,03:10.38,NR
2012 Summer Olympics,Ryan Lochte,Gold,4x200 m freestyle relay,06:59.70,NR
2012 Summer Olympics,Ryan Lochte,Gold,400 m individual medley,04:05.18,NR
2008 Summer Olympics,Ryan Lochte,Gold,200 m backstroke,01:53.94,WR
2008 Summer Olympics,Ryan Lochte,Gold,4x200 m freestyle relay,06:58.56,WR
2008 Summer Olympics,Ryan Lochte,Bronze,200 m individual medley,01:56.53,NR
2008 Summer Olympics,Ryan Lochte,Bronze,400 m individual medley,04:08.09,NR
