Championship,Medal,Race,Time,Record
2004 Summer Olympics,Gold,100 m butterfly,51.25,OR
2004 Summer Olympics,Gold,200 m butterfly,01:54.04,OR
2004 Summer Olympics,Gold,200 m individual medley,01:57.14,OR
2004 Summer Olympics,Gold,400 m individual medley,04:08.26,WR
2004 Summer Olympics,Gold,4x200 m freestyle relay,07:07.33,NR
2004 Summer Olympics,Gold,4x100 m medley relay,03:30.68,WR
2004 Summer Olympics,Bronze,200 m freestyle,01:45.32,NR
2004 Summer Olympics,Bronze,4x100 m freestyle relay,03:14.62,NR
2008 Summer Olympics,Gold,100 m butterfly,50.58,OR
2008 Summer Olympics,Gold,200 m butterfly,01:52.03,WR
2008 Summer Olympics,Gold,200 m freestyle,01:42.96,WR
2008 Summer Olympics,Gold,200 m individual medley,01:54.23,WR
2008 Summer Olympics,Gold,400 m individual medley,04:03.84,WR
2008 Summer Olympics,Gold,4x100 m freestyle relay,03:08.24,WR
2008 Summer Olympics,Gold,4x200 m freestyle relay,06:58.56,WR
2008 Summer Olympics,Gold,4x100 m medley relay,03:29.34,WR
2012 Summer Olympics,Gold,100 m butterfly,51.21,NR
2012 Summer Olympics,Gold,200 m individual medley,01:54.27,NR
2012 Summer Olympics,Gold,4x200 m freestyle relay,06:59.70,NR
2012 Summer Olympics,Gold,4x100 m medley relay,03:29.35,NR
2012 Summer Olympics,Silver,200 m butterfly,01:53.01,NR
2012 Summer Olympics,Silver,4x100 m freestyle relay,03:10.38,NR
